Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
5/29/2021,0900h - 1135h,Marina Bay Sands (2 Bayfront Avenue),Church's,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.8576291,1.283322499,18972,Straits View
5/29/2021,0900h - 1300h,NTUC Foodfare (308 Anchorvale Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8864451,1.389253975,540308,Sengkang
5/29/2021,1020h - 1100h,Seletar Mall (33 Sengkang West Avenue),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.876157,1.391368809,797653,Seletar
5/29/2021,1040h - 1140h,Marsiling Lane Food Centre (20 Marsiling Lane),NaN,https://mothership.sg/2021/06/new-locations-june-5-causeway-point/,Added/ Updated on 2021-06-06,103.7769671,1.443394443,730020,Woodlands
5/29/2021,1230h - 2030h,"ION Orchard (2 Orchard Turn) 
",Guardian,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-13, Date is till 1 Jun 2021",103.8317743,1.30419842,NIL,Orchard
5/29/2021,1255h - 2225h,NTUC Foodfare (476D Upper Serangoon View),NaN,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01,103.9036238,1.377915061,537476,Sengkang
5/29/2021,1315h - 1500h,Chien Chi Tow Healthcare (78 Redhill Lane),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8184868,1.288430883,150078,Bukit Merah
5/29/2021,1555h - 1645h,Peninsula Plaza Singapore (111 North Bridge Road),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8508045,1.292322484,NIL,Museum
5/29/2021,1715h - 1750h,Yew Tee Point (21 Choa Chu Kang North 6),NaN,https://www.todayonline.com/singapore/luxury-boutiques-marina-bay-sands-ion-orchard-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-06-10,103.7465581,1.397301909,689578,Sungei Kadut
5/29/2021,1815h - 1915h,Thong Sheng Motors Trading (7 Pioneer Road North),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.6954279,1.324836348,628459,Pioneer
5/29/2021,1820h - 2000h,VivoCity (1 HarbourFront Walk),FairPrice Xtra,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8223825,1.264277273,NIL,Bukit Merah
5/29/2021,1840h - 1950h,ESR BizPark@Chai Chee (750A Chai Chee Road),Decathlon,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.9221246,1.322978202,469001,Geylang
5/29/2021,2000h - 2035h,Prime Supermarket (763 Jurong West Street 75),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.698292,1.348726443,640763,Jurong West
5/29/2021,2030h - 2055h,Plaza Singapura (68 Orchard Road),Cold Storage,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8450673,1.300820718,238839,Museum
5/29/2021,2030h - 2115h,Plaza Singapura (68 Orchard Road),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8450673,1.300820718,238839,Museum
5/28/2021,0800h - 1800h,Orchard Hotel Singapore (442 Orchard Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8281973,1.307625115,NIL,Orchard
5/28/2021,0900h - 2100h,NTUC Foodfare (308 Anchorvale Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8864451,1.389253975,540308,Sengkang
5/28/2021,1010h - 1155h,Carole Unisex Salon (620 Hougang Avenue 8),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8839681,1.370144007,530620,Hougang
5/28/2021,1100h - 2200h,Hougang Green Shopping Mall (21 Hougang Street 51),Pizza Hut,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8878471,1.379317835,538719,Sengkang
5/28/2021,1200h - 1900h,Atatzcutz Singapore (348 Bedok Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,"Added/ Updated on 2021-06-04, Date is till 31 May 2021",103.9482603,1.331436231,469560,Bedok
5/28/2021,1300h - 1340h,Masjid Jamek Queenstown (946 Margaret Drive),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8154157,1.293010456,149309,Tanglin
5/28/2021,1505h - 1540h,Fajar Shopping Centre (445 Fajar Road),Giant,https://www.todayonline.com/singapore/3-supermarkets-bukit-panjang-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-08,103.7707748,1.383580203,670445,Bukit Panjang
5/28/2021,1615h - 1650h,Sheng Shiong Supermarket (455 Sengkang West Avenue),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8711904,1.391836883,790455,Seletar
5/28/2021,1830h - 2000h,Causeway Point (1 Woodlands Square),NaN,https://mothership.sg/2021/06/new-locations-june-5-causeway-point/,Added/ Updated on 2021-06-06,103.78601,1.436088677,738099,Woodlands
5/28/2021,1845h - 1935h,Causeway Point (1 Woodlands Square),POPULAR Bookstore,https://mothership.sg/2021/06/new-locations-june-5-causeway-point/,Added/ Updated on 2021-06-06,103.78601,1.436088677,738099,Woodlands
5/28/2021,1930h - 0000h,NTUC Foodfare (308 Anchorvale Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8864451,1.389253975,540308,Sengkang
5/28/2021,1955h - 2055h,Seletar Mall (33 Sengkang West Avenue),NTUC FairPrice,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.876157,1.391368809,797653,Seletar
5/28/2021,1955h - 2105h,The Seletar Mall (33 Sengkang West Avenue),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.876157,1.391368809,797653,Seletar
5/28/2021,2015h - 2120h,NTUC FairPrice at Woodlands Civic Centre (900 South Woodlands Drive),NaN,https://mothership.sg/2021/06/new-locations-june-5-causeway-point/,Added/ Updated on 2021-06-06,103.7868577,1.435186912,NIL,Woodlands
5/27/2021,0000h - 0730h,NTUC Foodfare (308 Anchorvale Road),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8864451,1.389253975,540308,Sengkang
5/27/2021,0000h - 2359h,Tuas Amenity Centre (71 Pioneer Road),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,"Added/ Updated on 2021-06-03, Date is till 31 May 2021",103.6522087,1.317204168,639591,Tuas
